feature_name,test_year,standardized_coefficient,source_factor,usage_type,classification
tsmom_20__cs_robust_z,2019,-0.00048193151221068045,时间序列动量,predictor,B
tsmom_20__missing,2019,0.0010565961048095809,时间序列动量,quality_flag,B
csmom_20__cs_robust_z,2019,-0.0023264870872188215,横截面动量,predictor,B
csmom_20__missing,2019,-0.007929657796866987,横截面动量,quality_flag,B
trend_efficiency_20__cs_robust_z,2019,0.004646930123939288,趋势效率,conditional,C
trend_efficiency_20__missing,2019,0.0010565961048095809,趋势效率,quality_flag,C
momentum_quality_20__cs_robust_z,2019,-0.000976257342308825,动量质量,predictor,B
momentum_quality_20__missing,2019,0.0010565961048095809,动量质量,quality_flag,B
vol_managed_momentum_20__cs_robust_z,2019,-0.002791109794463529,波动率管理动量,risk,D
vol_managed_momentum_20__missing,2019,0.0010565961048095809,波动率管理动量,quality_flag,D
trend_efficiency_60__cs_robust_z,2019,-0.0026695456431280054,趋势效率,conditional,C
trend_efficiency_60__missing,2019,0.0010389545976350883,趋势效率,quality_flag,C
realized_vol_60__cs_robust_z,2019,-0.0016718648763539808,已实现波动率,risk,D
realized_vol_60__missing,2019,0.0047216502096454616,已实现波动率,quality_flag,D
vol_managed_momentum_60__cs_robust_z,2019,0.0074981504390722415,波动率管理动量,risk,D
vol_managed_momentum_60__missing,2019,0.0010389545976350883,波动率管理动量,quality_flag,D
tsmom_120__cs_robust_z,2019,0.0010255576048917698,时间序列动量,predictor,B
tsmom_120__missing,2019,-0.00023180769768913563,时间序列动量,quality_flag,B
csmom_120__cs_robust_z,2019,-0.002882226528450424,横截面动量,predictor,B
csmom_120__missing,2019,0.0013276684493206208,横截面动量,quality_flag,B
trend_efficiency_120__cs_robust_z,2019,-0.0021832581576850655,趋势效率,conditional,C
trend_efficiency_120__missing,2019,-0.00023180769768913563,趋势效率,quality_flag,C
realized_vol_120__cs_robust_z,2019,0.007239771268027643,已实现波动率,risk,D
realized_vol_120__missing,2019,-0.004061889115496332,已实现波动率,quality_flag,D
momentum_quality_120__cs_robust_z,2019,0.004774536924147031,动量质量,predictor,B
momentum_quality_120__missing,2019,-0.00023180769768913563,动量质量,quality_flag,B
vol_managed_momentum_120__cs_robust_z,2019,-0.0037966209682138556,波动率管理动量,risk,D
vol_managed_momentum_120__missing,2019,-0.00023180769768913563,波动率管理动量,quality_flag,D
carry__cs_robust_z,2019,0.0027905195305408612,Carry,predictor,A
carry__missing,2019,-0.004902851115423531,Carry,quality_flag,A
curve_curvature__cs_robust_z,2019,-0.00879927955680875,期限结构曲率,predictor,B
curve_curvature__missing,2019,-0.0037681645344668805,期限结构曲率,quality_flag,B
term_structure_slope__cs_robust_z,2019,0.014424853690041662,期限结构斜率,predictor,A
term_structure_slope__missing,2019,-0.004902851115423531,期限结构斜率,quality_flag,A
basis_momentum_5__cs_robust_z,2019,-0.0008217479953546369,基差动量,predictor,B
basis_momentum_5__missing,2019,0.00449213047146149,基差动量,quality_flag,B
term_structure_momentum_5__cs_robust_z,2019,0.0050146247562515645,期限结构动量,predictor,B
term_structure_momentum_5__missing,2019,0.00449213047146149,期限结构动量,quality_flag,B
term_structure_acceleration_5__cs_robust_z,2019,0.010687703942634968,期限结构加速度,predictor,A
term_structure_acceleration_5__missing,2019,0.011950912940032834,期限结构加速度,quality_flag,A
basis_momentum_20__cs_robust_z,2019,0.0009702201856042545,基差动量,predictor,B
basis_momentum_20__missing,2019,0.011817031157944937,基差动量,quality_flag,B
term_structure_acceleration_20__cs_robust_z,2019,-0.00026529906063664353,期限结构加速度,predictor,B
term_structure_acceleration_20__missing,2019,-0.0013019968991427175,期限结构加速度,quality_flag,B
carry_change_60__cs_robust_z,2019,-0.003307362233363694,Carry变化,predictor,B
